src/main/java/com/mb/MbSpringRestApplication.java:13:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/MbSpringRestApplication.java:17:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/MbSpringRestApplication.java:17:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/com/mb/MbSpringRestApplication.java:19:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/MbSpringRestApplication.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:19:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/aop/LoggerAspect.java:33:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/aop/LoggerAspect.java:38:	ImmutableField:	ImmutableField: Field 'log' may be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:49:	LongVariable:	LongVariable: Avoid excessively long variable names like EXCEPTION_EXPRESSION
src/main/java/com/mb/common/aop/LoggerAspect.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:59:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/main/java/com/mb/common/aop/LoggerAspect.java:69:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:70:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/main/java/com/mb/common/aop/LoggerAspect.java:81:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'e' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:81:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggerAspect.java:81:	ShortVariable:	ShortVariable: Avoid variables with short names like e
src/main/java/com/mb/common/aop/LoggerAspect.java:82:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
